FR,Article,EN,Example,TAGS
J’aimerais avoir votre avis sur,,I’d like your opinion on,J’aimerais avoir votre avis sur les critères de priorisation.,opinion;Demander une opinion
J’aimerais avoir votre opinion sur,,I’d like your opinion on,J’aimerais avoir votre opinion sur le plan de gouvernance.,opinion;Demander une opinion
J’aimerais avoir votre réaction face à,,I’d like your reaction to,J’aimerais avoir votre réaction face à la nouvelle directive.,opinion;Demander une opinion
J’aimerais connaître votre opinion sur,,I’d like to know your opinion on,J’aimerais connaître votre opinion sur l’intégration des données.,opinion;Demander une opinion
J’aimerais connaître votre réaction face à,,I’d like to know your reaction to,J’aimerais connaître votre réaction face à ces recommandations.,opinion;Demander une opinion
J’aimerais savoir ce que vous pensez de,,I’d like to know what you think about,J’aimerais savoir ce que vous pensez de l’option de centralisation.,opinion;Demander une opinion
Pourriez-vous me donner votre avis/opinion sur,,could you give me your opinion about,Pourriez-vous me donner votre avis sur l’échéancier révisé ?,opinion;Demander une opinion
Pourriez-vous me donner votre réaction face à,,could you give me your reaction to,Pourriez-vous me donner votre réaction face à la recommandation du comité ?,opinion;Demander une opinion
Pourriez-vous me faire savoir votre avis/opinion sur,,could you let me know your opinion about,Pourriez-vous me faire savoir votre opinion sur l’architecture cible ?,opinion;Demander une opinion
Pourriez-vous me faire savoir votre réaction face à,,could you let me know your reaction to,Pourriez-vous me faire savoir votre réaction face à ces changements ?,opinion;Demander une opinion
Pourriez-vous me dire ce que vous pensez de,,could you tell me what you think about,Pourriez-vous me dire ce que vous pensez de la feuille de route ?,opinion;Demander une opinion
Quelle est votre attitude à l’égard de,,what is your attitude toward,Quelle est votre attitude à l’égard de l’ouverture des données ?,opinion;Demander une opinion
Quelle est votre opinion/avis sur … ?,,what is your opinion about …?,Quelle est votre opinion sur la stratégie d’adoption ?,opinion;Demander une opinion
Que pensez-vous de … ?,,what do you think about …?,Que pensez-vous de la proposition de gouvernance ?,opinion;Demander une opinion
Qu’en pensez-vous ?,,what do you think about it?,Nous envisageons un projet pilote. Qu’en pensez-vous ?,opinion;Demander une opinion
Selon vous,,in your opinion,"Selon vous, quels indicateurs devrions-nous publier ?",opinion;Demander une opinion
accepter que chacun reste sur ses positions,,to agree to disagree,"Après discussion, nous acceptons que chacun reste sur ses positions.",opinion;Tempérer/Éviter une opinion
Ça m’est égal,,I don’t mind; it’s all the same to me,"Pour l’heure de la rencontre, ça m’est égal.",opinion;Tempérer/Éviter une opinion
Cela dépend de,,that depends on,Le choix de l’outil dépend de la capacité d’intégration — cela dépend de nos systèmes existants.,opinion;Tempérer/Éviter une opinion
C’est une question de point de vue.,,it depends on your point of view,"Quant à la centralisation, c’est une question de point de vue.",opinion;Tempérer/Éviter une opinion
Restons-en là.,,let’s agree to disagree; let’s leave it at that,Le comité est partagé — restons-en là pour aujourd’hui.,opinion;Tempérer/Éviter une opinion
Il est/C’est difficile de,,it’s hard to,Il est difficile de mesurer l’impact sans données longitudinales.,opinion;Tempérer/Éviter une opinion
Il est/C’est impossible de,,it’s impossible to,C’est impossible de trancher sans l’avis juridique.,opinion;Tempérer/Éviter une opinion
Il m’est impossible de donner un avis (définitif) sur,,I can’t express a (definite) opinion on,Il m’est impossible de donner un avis définitif sur le contrat avant l’évaluation technique.,opinion;Tempérer/Éviter une opinion
Je n’ai jamais vraiment réfléchi à,,I have never really thought about,Je n’ai jamais vraiment réfléchi à l’option d’externalisation.,opinion;Tempérer/Éviter une opinion
Je n’ai pas d’opinion bien arrêtée sur,,I don’t have strong feelings about,Je n’ai pas d’opinion bien arrêtée sur l’outil de suivi choisi.,opinion;Tempérer/Éviter une opinion
Je n’ai pas d’opinion bien précise à,,I don’t have a precise opinion about,Je n’ai pas d’opinion bien précise à partager pour le moment.,opinion;Tempérer/Éviter une opinion
Je ne me le suis jamais demandé.,,I’ve never wondered about it,"Honnêtement, je ne me le suis jamais demandé.",opinion;Tempérer/Éviter une opinion
Je ne me suis jamais vraiment posé la question.,,I’ve never really asked myself that question,Je ne me suis jamais vraiment posé la question concernant ce fournisseur.,opinion;Tempérer/Éviter une opinion
Je ne peux pas m’avancer sans connaître la question,,I don’t know enough about it to venture an opinion,Je ne peux pas m’avancer sans connaître la question en détail.,opinion;Tempérer/Éviter une opinion
Je n’en sais rien.,,I don’t know anything about it,"Pour les coûts d’infrastructure, je n’en sais rien.",opinion;Tempérer/Éviter une opinion
Je ne sais pas.,,I don’t know,Je ne sais pas si le calendrier conviendra aux partenaires.,opinion;Tempérer/Éviter une opinion
Je ne suis pas à même de dire si,,I’m not in a position to say whether,Je ne suis pas à même de dire si l’option respecte toutes les normes.,opinion;Tempérer/Éviter une opinion
Je ne suis pas sûr.,,I’m not sure,Je ne suis pas sûr que l’outil réponde à nos besoins d’accessibilité.,opinion;Tempérer/Éviter une opinion
Je préférerais ne pas (avoir à) me prononcer sur,,I’d rather not comment on,Je préférerais ne pas me prononcer sur ce dossier avant la réunion.,opinion;Tempérer/Éviter une opinion
Je préférerais ne pas m’engager,,I’d rather not commit myself,"Sur ce calendrier, je préférerais ne pas m’engager dès maintenant.",opinion;Tempérer/Éviter une opinion
J’ignore tout de,,I know nothing about,J’ignore tout de ce fournisseur; demandons une évaluation.,opinion;Tempérer/Éviter une opinion
On ne peut pas dire que / si,,we can’t say that / whether,"À ce stade, on ne peut pas dire si la mesure aura l’effet escompté.",opinion;Tempérer/Éviter une opinion
On ne peut pas savoir que / si,,we can’t know that / whether,"Sans données supplémentaires, on ne peut pas savoir si l’hypothèse est valide.",opinion;Tempérer/Éviter une opinion
Sans vouloir te contredire,,without meaning to contradict you,"Sans vouloir te contredire, les contraintes opérationnelles sont réelles.",opinion;Tempérer/Éviter une opinion
Tout dépend de,,it all depends on,Tout dépend de la disponibilité des ressources spécialisées.,opinion;Tempérer/Éviter une opinion
