Fr,article,EN,Example_FR,Example_EN,TAGS
Tu as (parfaitement) raison,,you are (absolutely) right,Ce Tu as (parfaitement) raison sera communiqué aux parties prenantes.,This you are (absolutely) right will be communicated to stakeholders.,F5 — Accord
C’est aussi ce que je pense,,that’s what I think too,Ce C’est aussi ce que je pense sera communiqué aux parties prenantes.,This that’s what I think too will be communicated to stakeholders.,F5 — Accord
Je pense la même chose,,I think the same,Ce Je pense la même chose sera communiqué aux parties prenantes.,This I think the same will be communicated to stakeholders.,F5 — Accord
Je pense comme toi,,I think like you / I agree with you,Ce Je pense comme toi sera communiqué aux parties prenantes.,This I think like you / I agree with you will be communicated to stakeholders.,F5 — Accord
Ça a bien du sens,,that makes a lot of sense,Ce Ça a bien du sens sera communiqué aux parties prenantes.,that makes a lot of sense will be communicated to stakeholders.,F5 — Accord
Je partage l’opinion de,,I share the opinion of,Ce Je partage l’opinion de sera communiqué aux parties prenantes.,This I share the opinion of will be communicated to stakeholders.,F5 — Accord
Je partage (entièrement) ton point de vue,,I (fully) share your point of view,Ce Je partage (entièrement) ton point de vue sera communiqué aux parties prenantes.,This I (fully) share your point of view will be communicated to stakeholders.,F5 — Accord
Ça se peut,,that could be,Ce Ça se peut sera communiqué aux parties prenantes.,that could be will be communicated to stakeholders.,F5 — Accord
C’est (bien) possible,,that’s (quite) possible,Ce C’est (bien) possible sera communiqué aux parties prenantes.,This that’s (quite) possible will be communicated to stakeholders.,F5 — Accord
Vous avez probablement raison,,you’re probably right,Ce Vous avez probablement raison sera communiqué aux parties prenantes.,This you’re probably right will be communicated to stakeholders.,F5 — Accord
Tu as peut-être raison,,you may be right,Ce Tu as peut-être raison sera communiqué aux parties prenantes.,This you may be right will be communicated to stakeholders.,F5 — Accord
Je suis d’accord jusqu’à un certain point,,I agree up to a point,Ce Je suis d’accord jusqu’à un certain point sera communiqué aux parties prenantes.,This I agree up to a point will be communicated to stakeholders.,F5 — Accord
Je suis partiellement d’accord,,I partially agree,Ce Je suis partiellement d’accord sera communiqué aux parties prenantes.,This I partially agree will be communicated to stakeholders.,F5 — Accord
Je ne suis (vraiment) pas d’accord,,I (really) don’t agree,Ce Je ne suis (vraiment) pas d’accord sera communiqué aux parties prenantes.,This I (really) don’t agree will be communicated to stakeholders.,F5 — Accord
Je ne suis pas du tout d’accord,,I don’t agree at all,Ce Je ne suis pas du tout d’accord sera communiqué aux parties prenantes.,This I don’t agree at all will be communicated to stakeholders.,F5 — Accord
"Non, absolument pas",,"no, absolutely not","Ce Non, absolument pas sera communiqué aux parties prenantes.","This no, absolutely not will be communicated to stakeholders.",F5 — Accord
Je pense plutôt que,,I rather think that,Ce Je pense plutôt que sera communiqué aux parties prenantes.,This I rather think that will be communicated to stakeholders.,F5 — Accord
Je dirais plutôt que,,I would rather say that,Ce Je dirais plutôt que sera communiqué aux parties prenantes.,This I would rather say that will be communicated to stakeholders.,F5 — Accord
Au contraire,,on the contrary,Cet Au contraire sera communiqué aux parties prenantes.,This on the contrary will be communicated to stakeholders.,F5 — Accord
Je ne suis pas vraiment d’accord avec ça,,I’m not really in agreement with that,Ce Je ne suis pas vraiment d’accord avec ça sera communiqué aux parties prenantes.,This I’m not really in agreement with that will be communicated to stakeholders.,F5 — Accord
Je suis plus ou moins d’accord avec ça,,I more or less agree with that,Ce Je suis plus ou moins d’accord avec ça sera communiqué aux parties prenantes.,This I more or less agree with that will be communicated to stakeholders.,F5 — Accord
Je ne sais pas,,I don’t know,Ce Je ne sais pas sera communiqué aux parties prenantes.,This I don’t know will be communicated to stakeholders.,F5 — Accord
Je ne suis pas tout à fait convaincu,,I’m not entirely convinced,Ce Je ne suis pas tout à fait convaincu sera communiqué aux parties prenantes.,This I’m not entirely convinced will be communicated to stakeholders.,F5 — Accord
Je ne penserais pas,,I wouldn’t think so,Ce Je ne penserais pas sera communiqué aux parties prenantes.,This I wouldn’t think so will be communicated to stakeholders.,F5 — Accord
"Honnêtement, je dois dire que",,"honestly, I have to say that","Cet Honnêtement, je dois dire que sera communiqué aux parties prenantes.","This honestly, I have to say that will be communicated to stakeholders.",F5 — Accord
"Je comprends ton point de vue, mais",,"I understand your point of view, but","Ce Je comprends ton point de vue, mais sera communiqué aux parties prenantes.","This I understand your point of view, but will be communicated to stakeholders.",F5 — Accord
"Je vous comprends, mais",,"I understand you, but","Ce Je vous comprends, mais sera communiqué aux parties prenantes.","This I understand you, but will be communicated to stakeholders.",F5 — Accord
"Sincèrement, j’ai des doutes là-dessus",,"honestly, I have doubts about that","Ce Sincèrement, j’ai des doutes là-dessus sera communiqué aux parties prenantes.","This honestly, I have doubts about that will be communicated to stakeholders.",F5 — Accord
Je ne sais pas (trop),,I’m not (too) sure,Ce Je ne sais pas (trop) sera communiqué aux parties prenantes.,This I’m not (too) sure will be communicated to stakeholders.,F5 — Accord
Je ne suis pas sûr,,I’m not sure,Ce Je ne suis pas sûr sera communiqué aux parties prenantes.,This I’m not sure will be communicated to stakeholders.,F5 — Accord
Ce n’est pas évident,,it’s not obvious,Ce Ce n’est pas évident sera communiqué aux parties prenantes.,This it’s not obvious will be communicated to stakeholders.,F5 — Accord
Je n’arrive pas à me faire une idée,,I can’t make up my mind,Ce Je n’arrive pas à me faire une idée sera communiqué aux parties prenantes.,This I can’t make up my mind will be communicated to stakeholders.,F5 — Accord
Ça dépend,,it depends,Ce Ça dépend sera communiqué aux parties prenantes.,This it depends will be communicated to stakeholders.,F5 — Accord
Je ne peux pas dire,,I can’t say,Ce Je ne peux pas dire sera communiqué aux parties prenantes.,This I can’t say will be communicated to stakeholders.,F5 — Accord
Généralement,,generally,Ce Généralement sera communiqué aux parties prenantes.,This generally will be communicated to stakeholders.,F6 — Généralisation et exception
En général,,in general,Cet En général sera communiqué aux parties prenantes.,This in general will be communicated to stakeholders.,F6 — Généralisation et exception
D’habitude,,usually,Ce D’habitude sera communiqué aux parties prenantes.,This usually will be communicated to stakeholders.,F6 — Généralisation et exception
Habituellement,,habitually; usually,Cet Habituellement sera communiqué aux parties prenantes.,This habitually; usually will be communicated to stakeholders.,F6 — Généralisation et exception
Normalement,,normally,Ce Normalement sera communiqué aux parties prenantes.,This normally will be communicated to stakeholders.,F6 — Généralisation et exception
Ordinairement,,ordinarily,Cet Ordinairement sera communiqué aux parties prenantes.,This ordinarily will be communicated to stakeholders.,F6 — Généralisation et exception
plupart de,la,most of,Ce plupart de sera communiqué aux parties prenantes.,This most of will be communicated to stakeholders.,F6 — Généralisation et exception
Dans la plupart des,,in most of the,Ce Dans la plupart des sera communiqué aux parties prenantes.,This in most of the will be communicated to stakeholders.,F6 — Généralisation et exception
(Presque) tout,,(almost) everything/everyone,Ce (Presque) tout sera communiqué aux parties prenantes.,This (almost) everything/everyone will be communicated to stakeholders.,F6 — Généralisation et exception
Dans l’ensemble,,overall; on the whole,Ce Dans l’ensemble sera communiqué aux parties prenantes.,This overall; on the whole will be communicated to stakeholders.,F6 — Généralisation et exception
Excepté,,except,Cet Excepté sera communiqué aux parties prenantes.,This except will be communicated to stakeholders.,F6 — Généralisation et exception
Sauf,,except; save,Ce Sauf sera communiqué aux parties prenantes.,This except; save will be communicated to stakeholders.,F6 — Généralisation et exception
À part,,apart from,Cet À part sera communiqué aux parties prenantes.,This apart from will be communicated to stakeholders.,F6 — Généralisation et exception
(Mais) il y a des exceptions,,(but) there are exceptions,Ce (Mais) il y a des exceptions sera communiqué aux parties prenantes.,This (but) there are exceptions will be communicated to stakeholders.,F6 — Généralisation et exception
D’après toi,,in your opinion,Ce D’après toi sera communiqué aux parties prenantes.,This in your opinion will be communicated to stakeholders.,F7 — Opinion
À ton avis,,what’s your opinion,Cet À ton avis sera communiqué aux parties prenantes.,This what’s your opinion will be communicated to stakeholders.,F7 — Opinion
Qu’est-ce que tu en penses,,what do you think about it,Ce Qu’est-ce que tu en penses sera communiqué aux parties prenantes.,This what do you think about it will be communicated to stakeholders.,F7 — Opinion
Qu’est-ce que vous pensez de,,what do you think of,Ce Qu’est-ce que vous pensez de sera communiqué aux parties prenantes.,This what do you think of will be communicated to stakeholders.,F7 — Opinion
J’aimerais savoir ce que tu en penses,,I’d like to know what you think,Ce J’aimerais savoir ce que tu en penses sera communiqué aux parties prenantes.,This I’d like to know what you think will be communicated to stakeholders.,F7 — Opinion
Penses-tu que,,do you think that,Ce Penses-tu que sera communiqué aux parties prenantes.,This do you think that will be communicated to stakeholders.,F7 — Opinion
Trouves-tu que,,do you find that,Ce Trouves-tu que sera communiqué aux parties prenantes.,This do you find that will be communicated to stakeholders.,F7 — Opinion
As-tu l’impression que,,do you have the impression that,Cet As-tu l’impression que sera communiqué aux parties prenantes.,This do you have the impression that will be communicated to stakeholders.,F7 — Opinion
Est-ce que vous croyez que,,do you believe that,Cet Est-ce que vous croyez que sera communiqué aux parties prenantes.,This do you believe that will be communicated to stakeholders.,F7 — Opinion
J’aimerais ça que tu me donnes ton opinion là-dessus,,I’d like you to give me your opinion on that,Ce J’aimerais ça que tu me donnes ton opinion là-dessus sera communiqué aux parties prenantes.,This I’d like you to give me your opinion on that will be communicated to stakeholders.,F7 — Opinion
J’aimerais connaître ton opinion là-dessus,,I’d like to know your opinion on that,Ce J’aimerais connaître ton opinion là-dessus sera communiqué aux parties prenantes.,This I’d like to know your opinion on that will be communicated to stakeholders.,F7 — Opinion
Ton point de vue,,your point of view,Ce Ton point de vue sera communiqué aux parties prenantes.,This your point of view will be communicated to stakeholders.,F7 — Opinion
Selon vous,,according to you,Ce Selon vous sera communiqué aux parties prenantes.,This according to you will be communicated to stakeholders.,F7 — Opinion
D’après moi,,in my opinion,Ce D’après moi sera communiqué aux parties prenantes.,This in my opinion will be communicated to stakeholders.,F7 — Opinion
Pour moi,,for me,Ce Pour moi sera communiqué aux parties prenantes.,This for me will be communicated to stakeholders.,F7 — Opinion
Selon moi,,according to me,Ce Selon moi sera communiqué aux parties prenantes.,This according to me will be communicated to stakeholders.,F7 — Opinion
À mon avis,,in my opinion,Cet À mon avis sera communiqué aux parties prenantes.,This in my opinion will be communicated to stakeholders.,F7 — Opinion
À mon point de vue,,from my point of view,Cet À mon point de vue sera communiqué aux parties prenantes.,This from my point of view will be communicated to stakeholders.,F7 — Opinion
En ce qui me concerne,,as far as I’m concerned,Cet En ce qui me concerne sera communiqué aux parties prenantes.,This as far as I’m concerned will be communicated to stakeholders.,F7 — Opinion
"Quant à moi,",,"as for me,","Ce Quant à moi, sera communiqué aux parties prenantes.","This as for me, will be communicated to stakeholders.",F7 — Opinion
"Personnellement,",,"personally,","Ce Personnellement, sera communiqué aux parties prenantes.","This personally, will be communicated to stakeholders.",F7 — Opinion
"Pour ma part,",,"for my part,","Ce Pour ma part, sera communiqué aux parties prenantes.","This for my part, will be communicated to stakeholders.",F7 — Opinion
"Moi,",,"me,","Ce Moi, sera communiqué aux parties prenantes.","This me, will be communicated to stakeholders.",F7 — Opinion
je pense que,,I think that,Ce je pense que sera communiqué aux parties prenantes.,This I think that will be communicated to stakeholders.,F7 — Opinion
je trouve que,,I find that,Ce je trouve que sera communiqué aux parties prenantes.,This I find that will be communicated to stakeholders.,F7 — Opinion
je dirais que,,I would say that,Ce je dirais que sera communiqué aux parties prenantes.,This I would say that will be communicated to stakeholders.,F7 — Opinion
il me semble que,,it seems to me that,Cet il me semble que sera communiqué aux parties prenantes.,This it seems to me that will be communicated to stakeholders.,F7 — Opinion
j’ai l’impression que,,I have the impression that,Ce j’ai l’impression que sera communiqué aux parties prenantes.,This I have the impression that will be communicated to stakeholders.,F7 — Opinion
je considère que,,I consider that,Ce je considère que sera communiqué aux parties prenantes.,This I consider that will be communicated to stakeholders.,F7 — Opinion
si vous voulez mon avis,,if you want my opinion,Ce si vous voulez mon avis sera communiqué aux parties prenantes.,This if you want my opinion will be communicated to stakeholders.,F7 — Opinion
"ce que je pense, c’est que",,what I think is that,"Ce ce que je pense, c’est que sera communiqué aux parties prenantes.",This what I think is that will be communicated to stakeholders.,F7 — Opinion
"Je ne suis pas (vraiment) sûr, mais",,"I’m not (really) sure, but","Ce Je ne suis pas (vraiment) sûr, mais sera communiqué aux parties prenantes.","This I’m not (really) sure, but will be communicated to stakeholders.",F7 — Opinion
"Je ne suis pas tout à fait convaincu, mais",,"I’m not entirely convinced, but","Ce Je ne suis pas tout à fait convaincu, mais sera communiqué aux parties prenantes.","This I’m not entirely convinced, but will be communicated to stakeholders.",F7 — Opinion
"Je ne suis pas un expert, mais",,"I’m not an expert, but","Ce Je ne suis pas un expert, mais sera communiqué aux parties prenantes.","This I’m not an expert, but will be communicated to stakeholders.",F7 — Opinion
Je serais porté à croire que,,I would be inclined to believe that,Ce Je serais porté à croire que sera communiqué aux parties prenantes.,This I would be inclined to believe that will be communicated to stakeholders.,F7 — Opinion
"Je ne sais pas ce que vous pensez de ça, mais moi",,"I don’t know what you think of that, but I","Ce Je ne sais pas ce que vous pensez de ça, mais moi sera communiqué aux parties prenantes.","This I don’t know what you think of that, but I will be communicated to stakeholders.",F7 — Opinion
J’aurais tendance à dire que,,I would tend to say that,Ce J’aurais tendance à dire que sera communiqué aux parties prenantes.,This I would tend to say that will be communicated to stakeholders.,F7 — Opinion
Comparé à,,compared to,Ce Comparé à sera communiqué aux parties prenantes.,This compared to will be communicated to stakeholders.,F8 — Comparaison
Comparativement à,,comparatively to,Ce Comparativement à sera communiqué aux parties prenantes.,This comparatively to will be communicated to stakeholders.,F8 — Comparaison
Par rapport à,,in relation to; compared with,Ce Par rapport à sera communiqué aux parties prenantes.,This in relation to; compared with will be communicated to stakeholders.,F8 — Comparaison
Si on compare,,if we compare,Ce Si on compare sera communiqué aux parties prenantes.,This if we compare will be communicated to stakeholders.,F8 — Comparaison
C’est la même chose,,it’s the same thing,Ce C’est la même chose sera communiqué aux parties prenantes.,This it’s the same thing will be communicated to stakeholders.,F8 — Comparaison
"différence entre... et..., c’est",la,the difference between ... and ... is,"Ce différence entre... et..., c’est sera communiqué aux parties prenantes.",the difference between ... and ... is will be communicated to stakeholders.,F8 — Comparaison
Alors que,,whereas; while,Cet Alors que sera communiqué aux parties prenantes.,This whereas; while will be communicated to stakeholders.,F8 — Comparaison
Tandis que,,whereas,Ce Tandis que sera communiqué aux parties prenantes.,This whereas will be communicated to stakeholders.,F8 — Comparaison
"Ça, c’est vraiment important",,that’s really important,"Ce Ça, c’est vraiment important sera communiqué aux parties prenantes.",This that’s really important will be communicated to stakeholders.,F9 — Insistance
"Je sais que je me répète, mais",,"I know I’m repeating myself, but","Ce Je sais que je me répète, mais sera communiqué aux parties prenantes.","This I know I’m repeating myself, but will be communicated to stakeholders.",F9 — Insistance
Il ne faudrait pas oublier,,we mustn’t forget,Cet Il ne faudrait pas oublier sera communiqué aux parties prenantes.,This we mustn’t forget will be communicated to stakeholders.,F9 — Insistance
J’insiste là-dessus,,I insist on that,Ce J’insiste là-dessus sera communiqué aux parties prenantes.,This I insist on that will be communicated to stakeholders.,F9 — Insistance
"Ce que je dis, c’est que",,what I’m saying is that,"Ce Ce que je dis, c’est que sera communiqué aux parties prenantes.",This what I’m saying is that will be communicated to stakeholders.,F9 — Insistance
Encore une fois,,once again,Cet Encore une fois sera communiqué aux parties prenantes.,This once again will be communicated to stakeholders.,F9 — Insistance
Parce que,,because,Ce Parce que sera communiqué aux parties prenantes.,This because will be communicated to stakeholders.,F10 — Cause et conséquence
Étant donné,,given (that),Cet Étant donné sera communiqué aux parties prenantes.,This given (that) will be communicated to stakeholders.,F10 — Cause et conséquence
Comme,,as; since,Ce Comme sera communiqué aux parties prenantes.,This as; since will be communicated to stakeholders.,F10 — Cause et conséquence
Vu,,in view of; given,Ce Vu sera communiqué aux parties prenantes.,This in view of; given will be communicated to stakeholders.,F10 — Cause et conséquence
À cause de,,because of,Cet À cause de sera communiqué aux parties prenantes.,This because of will be communicated to stakeholders.,F10 — Cause et conséquence
Grâce à,,thanks to,Ce Grâce à sera communiqué aux parties prenantes.,This thanks to will be communicated to stakeholders.,F10 — Cause et conséquence
C’est que,,it’s because,Ce C’est que sera communiqué aux parties prenantes.,This it’s because will be communicated to stakeholders.,F10 — Cause et conséquence
À force de,,by dint of; from (doing something repeatedly),Cet À force de sera communiqué aux parties prenantes.,This by dint of; from (doing something repeatedly) will be communicated to stakeholders.,F10 — Cause et conséquence
"des raisons, c’est que",une,one of the reasons is that,"Ce des raisons, c’est que sera communiqué aux parties prenantes.",This one of the reasons is that will be communicated to stakeholders.,F10 — Cause et conséquence
"Ce qui explique ça, c’est",,what explains that is,"Ce Ce qui explique ça, c’est sera communiqué aux parties prenantes.",This what explains that is will be communicated to stakeholders.,F10 — Cause et conséquence
Donc,,so; therefore,Ce Donc sera communiqué aux parties prenantes.,This so; therefore will be communicated to stakeholders.,F10 — Cause et conséquence
Alors,,then; so,Cet Alors sera communiqué aux parties prenantes.,This then; so will be communicated to stakeholders.,F10 — Cause et conséquence
Par conséquent,,consequently,Ce Par conséquent sera communiqué aux parties prenantes.,This consequently will be communicated to stakeholders.,F10 — Cause et conséquence
Ce qui fait que,,which means that; so that,Ce Ce qui fait que sera communiqué aux parties prenantes.,This which means that; so that will be communicated to stakeholders.,F10 — Cause et conséquence
Ça pourrait causer,,that could cause,Ce Ça pourrait causer sera communiqué aux parties prenantes.,that could cause will be communicated to stakeholders.,F10 — Cause et conséquence
"Ce qui est arrivé, c’est que",,what happened is that,"Ce Ce qui est arrivé, c’est que sera communiqué aux parties prenantes.",This what happened is that will be communicated to stakeholders.,F10 — Cause et conséquence
Ça a permis de,,that made it possible to,Ce Ça a permis de sera communiqué aux parties prenantes.,that made it possible to will be communicated to stakeholders.,F10 — Cause et conséquence
Ce qui nous a amenés à,,which led us to,Ce Ce qui nous a amenés à sera communiqué aux parties prenantes.,This which led us to will be communicated to stakeholders.,F10 — Cause et conséquence
Tellement (...) que,,so ... that,Ce Tellement (...) que sera communiqué aux parties prenantes.,This so ... that will be communicated to stakeholders.,F10 — Cause et conséquence
C’est pour ça que,,that’s why,Ce C’est pour ça que sera communiqué aux parties prenantes.,This that’s why will be communicated to stakeholders.,F10 — Cause et conséquence
C’est à cause de ça que,,it’s because of that that,Ce C’est à cause de ça que sera communiqué aux parties prenantes.,This it’s because of that that will be communicated to stakeholders.,F10 — Cause et conséquence
C’est ce qui explique,,that’s what explains,Ce C’est ce qui explique sera communiqué aux parties prenantes.,This that’s what explains will be communicated to stakeholders.,F10 — Cause et conséquence
C’est pour cette raison que,,for this reason,Ce C’est pour cette raison que sera communiqué aux parties prenantes.,This for this reason will be communicated to stakeholders.,F10 — Cause et conséquence
C’est la raison pour laquelle,,that’s the reason why,Ce C’est la raison pour laquelle sera communiqué aux parties prenantes.,This that’s the reason why will be communicated to stakeholders.,F10 — Cause et conséquence
En gros (ce que je veux dire),,basically (what I mean),Cet En gros (ce que je veux dire) sera communiqué aux parties prenantes.,This basically (what I mean) will be communicated to stakeholders.,F11 — Résumé
En un mot,,in a word,Cet En un mot sera communiqué aux parties prenantes.,This in a word will be communicated to stakeholders.,F11 — Résumé
En fait,,in fact; actually (FR usage),Cet En fait sera communiqué aux parties prenantes.,This in fact; actually (FR usage) will be communicated to stakeholders.,F11 — Résumé
Tout ça pour dire que,,all this to say that,Ce Tout ça pour dire que sera communiqué aux parties prenantes.,This all this to say that will be communicated to stakeholders.,F11 — Résumé
Pour résumer,,to summarize,Veuillez Pour résumer le formulaire d'ici vendredi.,Please summarize the document by Friday.,F11 — Résumé
En résumé,,in summary,Cet En résumé sera communiqué aux parties prenantes.,This in summary will be communicated to stakeholders.,F11 — Résumé
Grosso modo,,roughly; broadly speaking,Ce Grosso modo sera communiqué aux parties prenantes.,This roughly; broadly speaking will be communicated to stakeholders.,F11 — Résumé
Bref,,in short,Ce Bref sera communiqué aux parties prenantes.,This in short will be communicated to stakeholders.,F11 — Résumé
Tout compte fait,,all things considered,Ce Tout compte fait sera communiqué aux parties prenantes.,This all things considered will be communicated to stakeholders.,F11 — Résumé
En somme,,in sum,Cet En somme sera communiqué aux parties prenantes.,This in sum will be communicated to stakeholders.,F11 — Résumé
Pour tout dire,,to tell the truth; frankly,Veuillez Pour tout dire la pièce jointe d'ici vendredi.,Please tell the truth; frankly the document by Friday.,F11 — Résumé
