FR,Article,EN,Example,TAGS
Bénéficiaire,mf,recipient,"Le bénéficiaire recevra la subvention.",finance
Bénéficier,,to benefit from,"Les employés bénéficient du programme.",HR
Bénévolat,,volunteer work,"Le bénévolat est encouragé.",community
Bénévole,mf,volunteer,"Les bénévoles aident l’organisation.",community
Bien que,,although,"Bien qu’il soit tard, nous continuons.",general
Bien-être,m,well-being,"Le bien-être des employés est important.",HR
Bien-fondé,,validity; merit; justification,"Le bien-fondé de la décision a été confirmé.",policy
Bien,m,goods; possessions,"Les biens seront assurés.",legal
Bilan,m,summary; assessment,"Voici le bilan annuel.",admin
Bourse,f,bursary; grant,"Il a reçu une bourse d’études.",finance
But,m,aim; goal,"Le but est d’améliorer l’accès.",general
Cadre supérieur,mf,executive manager,"Les cadres supérieurs ont approuvé le plan.",HR
Caisse de retraite,f,pension plan,"La caisse de retraite est bien financée.",finance
Campagne de financement,f,fund-raising,"La campagne de financement commence demain.",finance
Candidature,f,application,"J’ai soumis ma candidature.",HR
Car,,because,"Je ne peux pas venir car je suis malade.",general
Cependant,,however,"Cependant, nous devons vérifier.",general
C'est-à-dire,,meaning; in other words,"Il faut l’envoyer, c’est-à-dire aujourd’hui.",general
Chef de file,m,leader,"Cette entreprise est un chef de file dans son domaine.",business
Chômage,m,unemployment,"Le chômage a diminué.",economy
Chômeur,m,unemployed man,"Il est chômeur depuis un an.",economy
Chômeuse,f,unemployed woman,"Elle est chômeuse depuis peu.",economy
Ci-dessous,,below,"Les détails sont présentés ci-dessous.",admin
Ci-inclus / Ci-joint,,enclosed; attached,"Vous trouverez ci-inclus le rapport.",admin
Classement,m,filing,"Le classement des dossiers est terminé.",admin
Classeur,m,filing cabinet,"Les formulaires sont dans le classeur.",admin
