FR,Article,Article_suggested,Gender_confidence,EN,Example_FR,Example_EN,TAGS
L’adaptation (une),f,f,High,adaptation,Le L’adaptation (une) est essentiel(le) pour appuyer la prise de décision.,The adaptation is essential to support decision-making.,Module L2 — La connaissance de soi
Avoir une grande faculté d’adaptation,,,,to adjust easily to any situation,L’équipe a décidé de Avoir une grande faculté d’adaptation après la consultation des partenaires.,The team decided to adjust easily to any situation after consulting stakeholders.,Module L2 — La connaissance de soi
besoin,m,m,High,a need,Le plan inclut besoin pour améliorer la prestation de services.,The plan includes a need to improve service delivery.,Module L2 — La connaissance de soi
Avoir besoin (de),,,,to need,Le comité recommande de Avoir besoin (de) afin d’assurer la transparence.,The committee recommends need to ensure transparency.,Module L2 — La connaissance de soi
difficulté,,f,Low,a difficulty,"Sans difficulté, il serait difficile d’assurer une gouvernance claire.","Without a difficulty, it would be difficult to ensure clear governance.",Module L2 — La connaissance de soi
Avoir de la difficulté (à),,,,to find it hard (to),"Dans la note d’information, on propose de Avoir de la difficulté (à) pour réduire les risques.","In the briefing note, we propose to find it hard to reduce risks.",Module L2 — La connaissance de soi
Réagir (bien / mal),,,,to react (well / badly),"Après l’analyse des données, le groupe de travail va Réagir (bien / mal).","After analyzing the data, the working group will react.",Module L2 — La connaissance de soi
tendance,f,f,High,a tendency,Nous misons sur tendance pour renforcer l’équité et l’inclusion.,We’re relying on a tendency to strengthen equity and inclusion.,Module L2 — La connaissance de soi
Avoir tendance à,,,,to tend to,Nous devons Avoir tendance à avant la date limite fixée par le gestionnaire.,We must tend to before the deadline set by the manager.,Module L2 — La connaissance de soi
Qualités,,m,Low,qualities,"Lors de la réunion, le Qualités a été présenté(e) à l’équipe.","During the meeting, the qualities was presented to the team.",Module L2 — La connaissance de soi
Consciencieux; Efficace; Exigeant; Fiable; Humain; Intègre; Intelligent; Juste; Organisé; Ouvert; Patient; Ponctuel; Professionnel; Respectueux; Sympathique,,f,Low,adjectives describing positive qualities,Le plan inclut Consciencieux; Efficace; Exigeant; Fiable; Humain; Intègre; Intelligent; Juste; Organisé; Ouvert; Patient; Ponctuel; Professionnel; Respectueux; Sympathique pour améliorer la prestation de services.,The plan includes adjectives describing positive qualities to improve service delivery.,Module L2 — La connaissance de soi
Défauts,,m,Low,shortcomings,"Dans le rapport, le Défauts figure parmi les priorités.","In the report, the shortcomings is listed among the priorities.",Module L2 — La connaissance de soi
"Manquer de (tact, respect, jugement, conscience professionnelle)",,,,"to lack (tact, respect, judgment, professionalism)","Avant la séance d’information, il faudra Manquer de (tact, respect, jugement, conscience professionnelle) les options possibles.","Before the briefing, we’ll lack (tact the possible options.",Module L2 — La connaissance de soi
aide précieuse,,f,Low,valuable help,Un budget supplémentaire a été alloué à aide précieuse cette année.,An additional budget was allocated to valuable help this year.,Module L3 — Le travail d’équipe
collaboration,f,f,High,collaboration,La mise en œuvre repose en grande partie sur collaboration.,Implementation largely depends on collaboration.,Module L3 — Le travail d’équipe
conflit (de personnalité),,f,Low,a (personality) conflict,Nous misons sur conflit (de personnalité) pour renforcer l’équité et l’inclusion.,We’re relying on a (personality) conflict to strengthen equity and inclusion.,Module L3 — Le travail d’équipe
Régler un conflit,,,,to settle a conflict,Nous devons Régler un conflit avant la date limite fixée par le gestionnaire.,We must settle a conflict before the deadline set by the manager.,Module L3 — Le travail d’équipe
dynamique (de groupe),,f,Low,group dynamics,"Lors de la réunion, le dynamique (de groupe) a été présenté(e) à l’équipe.","During the meeting, the group dynamics was presented to the team.",Module L3 — Le travail d’équipe
Changer la dynamique,,,,to change the dynamics,"Pour respecter l’échéancier, on va Changer la dynamique dès cette semaine.","To meet the timeline, we will change the dynamics this week.",Module L3 — Le travail d’équipe
échange,,f,Low,an exchange,"Dans le rapport, l’ échange figure parmi les priorités.","In the report, the an exchange is listed among the priorities.",Module L3 — Le travail d’équipe
Avoir de bons échanges / fructueux,,,,to have good / fruitful exchanges,"Avant la séance d’information, il faudra Avoir de bons échanges / fructueux les options possibles.","Before the briefing, we’ll have good / fruitful exchanges the possible options.",Module L3 — Le travail d’équipe
Échanger (idées / points de vue),,,,to exchange (ideas / views),"Dans la note d’information, on propose de Échanger (idées / points de vue) pour réduire les risques.","In the briefing note, we propose to exchange to reduce risks.",Module L3 — Le travail d’équipe
S’entendre (bien),,,,to get along (well),"Après l’analyse des données, le groupe de travail va S’entendre (bien).","After analyzing the data, the working group will get along.",Module L3 — Le travail d’équipe
S’entraider,,,,to help one another,Le ministère s’attend à ce que nous puissions S’entraider sans retard.,The department expects us to help one another without delay.,Module L3 — Le travail d’équipe
équipe,,f,Low,a team,L’ équipe est essentiel(le) pour appuyer la prise de décision.,The a team is essential to support decision-making.,Module L3 — Le travail d’équipe
chef d’équipe,,f,Low,a team lead,"Lors de la réunion, le chef d’équipe a été présenté(e) à l’équipe.","During the meeting, the a team lead was presented to the team.",Module L3 — Le travail d’équipe
L’esprit d’équipe,,f,Low,team spirit,Le plan inclut L’esprit d’équipe pour améliorer la prestation de services.,The plan includes team spirit to improve service delivery.,Module L3 — Le travail d’équipe
travail d’équipe,,f,Low,teamwork,"Dans le rapport, le travail d’équipe figure parmi les priorités.","In the report, the teamwork is listed among the priorities.",Module L3 — Le travail d’équipe
objectifs,,m,Low,goals,"Sans objectifs, il serait difficile d’assurer une gouvernance claire.","Without goals, it would be difficult to ensure clear governance.",Module L3 — Le travail d’équipe
Atteindre / Se fixer des objectifs,,,,to reach / to set goals,"Dans la note d’information, on propose de Atteindre / Se fixer des objectifs pour réduire les risques.","In the briefing note, we propose to reach / to set goals to reduce risks.",Module L3 — Le travail d’équipe
responsabilité,,f,Low,responsibility,La mise en œuvre repose en grande partie sur responsabilité.,Implementation largely depends on responsibility.,Module L3 — Le travail d’équipe
Être responsable de,,,,to be responsible for,Le ministère s’attend à ce que nous puissions Être responsable de sans retard.,The department expects us to be responsible for without delay.,Module L3 — Le travail d’équipe
synergie,f,f,High,synergy,Le synergie est essentiel(le) pour appuyer la prise de décision.,The synergy is essential to support decision-making.,Module L3 — Le travail d’équipe
travail,m,m,High,work,"Lors de la réunion, le travail a été présenté(e) à l’équipe.","During the meeting, the work was presented to the team.",Module L3 — Le travail d’équipe
climat de travail,m,m,High,work climate,Le plan inclut climat de travail pour améliorer la prestation de services.,The plan includes work climate to improve service delivery.,Module L3 — Le travail d’équipe
Se partager le travail,,,,to share workload,Le comité recommande de Se partager le travail afin d’assurer la transparence.,The committee recommends share workload to ensure transparency.,Module L3 — Le travail d’équipe
rythme de travail,m,m,High,pace of work,"Sans rythme de travail, il serait difficile d’assurer une gouvernance claire.","Without pace of work, it would be difficult to ensure clear governance.",Module L3 — Le travail d’équipe
Au sein de l’organisation,f,f,High,within the organization,Un budget supplémentaire a été alloué à Au sein de l’organisation cette année.,An additional budget was allocated to within the organization this year.,Module L4 — Le changement
amélioration,f,f,High,an improvement,La mise en œuvre repose en grande partie sur amélioration.,Implementation largely depends on an improvement.,Module L4 — Le changement
(S’)améliorer,,,,to improve,Le ministère s’attend à ce que nous puissions (S’)améliorer sans retard.,The department expects us to improve without delay.,Module L4 — Le changement
changement (d’orientation; organisationnel; nécessaire; radical),,m,Low,a change (of direction; organizational; necessary; drastic),Le changement (d’orientation; organisationnel; nécessaire; radical) est essentiel(le) pour appuyer la prise de décision.,The a change (of direction is essential to support decision-making.,Module L4 — Le changement
Apporter un changement,,,,to make a change,L’équipe a décidé de Apporter un changement après la consultation des partenaires.,The team decided to make a change after consulting stakeholders.,Module L4 — Le changement
Modifier (les politiques),,,,to modify (policies),"Pour respecter l’échéancier, on va Modifier (les politiques) dès cette semaine.","To meet the timeline, we will modify this week.",Module L4 — Le changement
Remettre en question,,,,to question,Le comité recommande de Remettre en question afin d’assurer la transparence.,The committee recommends question to ensure transparency.,Module L4 — Le changement
"Repenser (sa façon de faire, de penser)",,,,to rethink (one’s ways; thinking),"Avant la séance d’information, il faudra Repenser (sa façon de faire, de penser) les options possibles.","Before the briefing, we’ll rethink (one’s ways the possible options.",Module L4 — Le changement
Transition,f,f,High,transition,Un budget supplémentaire a été alloué à Transition cette année.,An additional budget was allocated to transition this year.,Module L4 — Le changement
période de transition,f,f,High,a period of transition,La mise en œuvre repose en grande partie sur période de transition.,Implementation largely depends on a period of transition.,Module L4 — Le changement
transition difficile,,f,Low,a difficult transition,Nous misons sur transition difficile pour renforcer l’équité et l’inclusion.,We’re relying on a difficult transition to strengthen equity and inclusion.,Module L4 — Le changement
Changer (ses habitudes; ses façons de faire),,,,to change (habits; ways of doing things),Nous devons Changer (ses habitudes; ses façons de faire) avant la date limite fixée par le gestionnaire.,We must change (habits before the deadline set by the manager.,Module L4 — Le changement
Réagir (bien / mal),,,,to react (well / badly),L’équipe a décidé de Réagir (bien / mal) après la consultation des partenaires.,The team decided to react after consulting stakeholders.,Module L4 — Le changement
résistance au changement,m,m,High,resistance to change,Le plan inclut résistance au changement pour améliorer la prestation de services.,The plan includes resistance to change to improve service delivery.,Module L4 — Le changement
Se sentir (à l’aise; bien/mal; incompétent; menacé),,,,to feel (comfortable; good/bad; incompetent; threatened),Le comité recommande de Se sentir (à l’aise; bien/mal; incompétent; menacé) afin d’assurer la transparence.,The committee recommends feel (comfortable to ensure transparency.,Module L4 — Le changement
S’adapter (à la nouvelle situation; au changement),,,,to adapt (to the new situation; to change),"Avant la séance d’information, il faudra S’adapter (à la nouvelle situation; au changement) les options possibles.","Before the briefing, we’ll adapt (to the new situation the possible options.",Module L4 — Le changement
Savoir s’adapter,,,,to be adaptable,"Dans la note d’information, on propose de Savoir s’adapter pour réduire les risques.","In the briefing note, we propose to be adaptable to reduce risks.",Module L4 — Le changement
Angoissé,,f,Low,anguished,La mise en œuvre repose en grande partie sur Angoissé.,Implementation largely depends on anguished.,Module L5 — Le stress
Être angoissé / Se sentir angoissé,,,,to be / feel anxious,Le ministère s’attend à ce que nous puissions Être angoissé / Se sentir angoissé sans retard.,The department expects us to be / feel anxious without delay.,Module L5 — Le stress
L’anxiété,,f,Low,anxiety,Le L’anxiété est essentiel(le) pour appuyer la prise de décision.,The anxiety is essential to support decision-making.,Module L5 — Le stress
Causer de l’anxiété,,,,to cause anxiety,L’équipe a décidé de Causer de l’anxiété après la consultation des partenaires.,The team decided to cause anxiety after consulting stakeholders.,Module L5 — Le stress
Anxieux / Être anxieux,,m,Low,anxious / to feel anxious,Le plan inclut Anxieux / Être anxieux pour améliorer la prestation de services.,The plan includes anxious / to feel anxious to improve service delivery.,Module L5 — Le stress
burnout,,m,Low,a burnout,"Dans le rapport, le burnout figure parmi les priorités.","In the report, the a burnout is listed among the priorities.",Module L5 — Le stress
Conduire au burnout,,,,to lead to burnout,"Avant la séance d’information, il faudra Conduire au burnout les options possibles.","Before the briefing, we’ll lead to burnout the possible options.",Module L5 — Le stress
Souffrir d’un burnout,,,,to suffer a burnout,"Dans la note d’information, on propose de Souffrir d’un burnout pour réduire les risques.","In the briefing note, we propose to suffer a burnout to reduce risks.",Module L5 — Le stress
L’épuisement (professionnel),,m,Low,(professional) exhaustion,La mise en œuvre repose en grande partie sur L’épuisement (professionnel).,Implementation largely depends on exhaustion.,Module L5 — Le stress
Souffrir d’épuisement,,,,to be exhausted,Le ministère s’attend à ce que nous puissions Souffrir d’épuisement sans retard.,The department expects us to be exhausted without delay.,Module L5 — Le stress
fatigue (chronique),,f,Low,(chronic) fatigue,Le fatigue (chronique) est essentiel(le) pour appuyer la prise de décision.,The fatigue is essential to support decision-making.,Module L5 — Le stress
pression,f,f,High,pressure,"Lors de la réunion, le pression a été présenté(e) à l’équipe.","During the meeting, the pressure was presented to the team.",Module L5 — Le stress
Travailler sous pression,,,,to work under pressure,"Pour respecter l’échéancier, on va Travailler sous pression dès cette semaine.","To meet the timeline, we will work under pressure this week.",Module L5 — Le stress
réaction (émotive; physique; psychologique),,f,Low,an (emotional; physical; psychological) reaction,"Dans le rapport, le réaction (émotive; physique; psychologique) figure parmi les priorités.","In the report, the an (emotional is listed among the priorities.",Module L5 — Le stress
stress (émotif; intellectuel; physique; psychologique),,f,Low,stress (emotional; mental; physical; psychological),"Sans stress (émotif; intellectuel; physique; psychologique), il serait difficile d’assurer une gouvernance claire.","Without stress (emotional, it would be difficult to ensure clear governance.",Module L5 — Le stress
bon / mauvais stress,,m,Low,good vs. bad stress,Un budget supplémentaire a été alloué à bon / mauvais stress cette année.,An additional budget was allocated to good vs. bad stress this year.,Module L5 — Le stress
Causes / Effets (du stress),,m,Low,causes / effects (of stress),La mise en œuvre repose en grande partie sur Causes / Effets (du stress).,Implementation largely depends on causes / effects.,Module L5 — Le stress
Stressant / C’est très stressant,,m,Low,stressful / it’s very stressful,Nous misons sur Stressant / C’est très stressant pour renforcer l’équité et l’inclusion.,We’re relying on stressful / it’s very stressful to strengthen equity and inclusion.,Module L5 — Le stress
situation stressante,,f,Low,a stressful situation,Le situation stressante est essentiel(le) pour appuyer la prise de décision.,The a stressful situation is essential to support decision-making.,Module L5 — Le stress
Stressé / Être stressé,,f,Medium,stressed / to feel stressed,"Lors de la réunion, le Stressé / Être stressé a été présenté(e) à l’équipe.","During the meeting, the stressed / to feel stressed was presented to the team.",Module L5 — Le stress
activité,,f,Low,a (social) activity,Le plan inclut activité pour améliorer la prestation de services.,The plan includes a (social) activity to improve service delivery.,Module L6 — Équilibre vie professionnelle – vie personnelle
Avoir des activités,,,,to do things / have activities,Le comité recommande de Avoir des activités afin d’assurer la transparence.,The committee recommends do things / have activities to ensure transparency.,Module L6 — Équilibre vie professionnelle – vie personnelle
choix,,m,Low,a choice,"Sans choix, il serait difficile d’assurer une gouvernance claire.","Without a choice, it would be difficult to ensure clear governance.",Module L6 — Équilibre vie professionnelle – vie personnelle
Faire un choix,,,,to make a choice,"Dans la note d’information, on propose de Faire un choix pour réduire les risques.","In the briefing note, we propose to make a choice to reduce risks.",Module L6 — Équilibre vie professionnelle – vie personnelle
Concilier (le travail et la famille),,,,to balance (work and family),"Après l’analyse des données, le groupe de travail va Concilier (le travail et la famille).","After analyzing the data, the working group will balance.",Module L6 — Équilibre vie professionnelle – vie personnelle
déséquilibre,,f,Low,imbalance,Le ministère s’attend à ce que nous puissions déséquilibre sans retard.,The department expects us to imbalance without delay.,Module L6 — Équilibre vie professionnelle – vie personnelle
L’équilibre,,f,Low,balance,Nous devons L’équilibre avant la date limite fixée par le gestionnaire.,We must balance before the deadline set by the manager.,Module L6 — Équilibre vie professionnelle – vie personnelle
Trouver un équilibre,,,,to find balance,L’équipe a décidé de Trouver un équilibre après la consultation des partenaires.,The team decided to find balance after consulting stakeholders.,Module L6 — Équilibre vie professionnelle – vie personnelle
heures supplémentaires,,m,Low,overtime,Le plan inclut heures supplémentaires pour améliorer la prestation de services.,The plan includes overtime to improve service delivery.,Module L6 — Équilibre vie professionnelle – vie personnelle
Faire des heures supplémentaires,,,,to work overtime,Le comité recommande de Faire des heures supplémentaires afin d’assurer la transparence.,The committee recommends work overtime to ensure transparency.,Module L6 — Équilibre vie professionnelle – vie personnelle
loisir,,m,Low,a hobby,"Avant la séance d’information, il faudra loisir les options possibles.","Before the briefing, we’ll a hobby the possible options.",Module L6 — Équilibre vie professionnelle – vie personnelle
Avoir des loisirs,,,,to have hobbies,"Dans la note d’information, on propose de Avoir des loisirs pour réduire les risques.","In the briefing note, we propose to have hobbies to reduce risks.",Module L6 — Équilibre vie professionnelle – vie personnelle
obligations (à respecter),,m,Medium,obligations (to honor),La mise en œuvre repose en grande partie sur obligations (à respecter).,Implementation largely depends on obligations.,Module L6 — Équilibre vie professionnelle – vie personnelle
Avoir des obligations,,,,to have obligations,Le ministère s’attend à ce que nous puissions Avoir des obligations sans retard.,The department expects us to have obligations without delay.,Module L6 — Équilibre vie professionnelle – vie personnelle
priorité,,f,Low,a priority,Le priorité est essentiel(le) pour appuyer la prise de décision.,The a priority is essential to support decision-making.,Module L6 — Équilibre vie professionnelle – vie personnelle
Avoir des priorités,,,,to have priorities,L’équipe a décidé de Avoir des priorités après la consultation des partenaires.,The team decided to have priorities after consulting stakeholders.,Module L6 — Équilibre vie professionnelle – vie personnelle
qualité de vie,f,f,High,quality of life,Le plan inclut qualité de vie pour améliorer la prestation de services.,The plan includes quality of life to improve service delivery.,Module L6 — Équilibre vie professionnelle – vie personnelle
santé,,f,Low,health,"Dans le rapport, le santé figure parmi les priorités.","In the report, the health is listed among the priorities.",Module L6 — Équilibre vie professionnelle – vie personnelle
Être en (bonne) santé,,,,to be in (good) health,"Avant la séance d’information, il faudra Être en (bonne) santé les options possibles.","Before the briefing, we’ll be in (good) health the possible options.",Module L6 — Équilibre vie professionnelle – vie personnelle
Faire attention à sa santé,,,,to take care of one’s health,"Dans la note d’information, on propose de Faire attention à sa santé pour réduire les risques.","In the briefing note, we propose to take care of one’s health to reduce risks.",Module L6 — Équilibre vie professionnelle – vie personnelle
temps,,m,Low,time,La mise en œuvre repose en grande partie sur temps.,Implementation largely depends on time.,Module L6 — Équilibre vie professionnelle – vie personnelle
Gérer son temps,,,,to manage one’s time,Le ministère s’attend à ce que nous puissions Gérer son temps sans retard.,The department expects us to manage one’s time without delay.,Module L6 — Équilibre vie professionnelle – vie personnelle
Manquer de temps,,,,to lack time,Nous devons Manquer de temps avant la date limite fixée par le gestionnaire.,We must lack time before the deadline set by the manager.,Module L6 — Équilibre vie professionnelle – vie personnelle
autres,,m,Low,others,"Lors de la réunion, l’ autres a été présenté(e) à l’équipe.","During the meeting, the others was presented to the team.",Module L7 — La communication
Tenir compte des autres,,,,to consider others,"Pour respecter l’échéancier, on va Tenir compte des autres dès cette semaine.","To meet the timeline, we will consider others this week.",Module L7 — La communication
Avoir du respect pour les autres,,,,to respect others,Le comité recommande de Avoir du respect pour les autres afin d’assurer la transparence.,The committee recommends respect others to ensure transparency.,Module L7 — La communication
communication (efficace; à sens unique),,f,Low,communication (effective; one-way),"Sans communication (efficace; à sens unique), il serait difficile d’assurer une gouvernance claire.","Without communication (effective, it would be difficult to ensure clear governance.",Module L7 — La communication
manque de communication,f,f,High,lack of communication,Un budget supplémentaire a été alloué à manque de communication cette année.,An additional budget was allocated to lack of communication this year.,Module L7 — La communication
Communiquer (oralement; par écrit),,,,to communicate (orally; in writing),"Après l’analyse des données, le groupe de travail va Communiquer (oralement; par écrit).","After analyzing the data, the working group will communicate (orally.",Module L7 — La communication
Savoir communiquer,,,,to be a communicator,Le ministère s’attend à ce que nous puissions Savoir communiquer sans retard.,The department expects us to be a communicator without delay.,Module L7 — La communication
Comprendre l’autre,,,,to understand the other,Nous devons Comprendre l’autre avant la date limite fixée par le gestionnaire.,We must understand the other before the deadline set by the manager.,Module L7 — La communication
Se comprendre,,,,to understand each other,L’équipe a décidé de Se comprendre après la consultation des partenaires.,The team decided to understand each other after consulting stakeholders.,Module L7 — La communication
Se faire comprendre,,,,to make oneself understood,"Pour respecter l’échéancier, on va Se faire comprendre dès cette semaine.","To meet the timeline, we will make oneself understood this week.",Module L7 — La communication
Contact,,m,Low,contact,"Dans le rapport, le Contact figure parmi les priorités.","In the report, the contact is listed among the priorities.",Module L7 — La communication
Être en contact,,,,to be in touch,"Avant la séance d’information, il faudra Être en contact les options possibles.","Before the briefing, we’ll be in touch the possible options.",Module L7 — La communication
Avoir un bon contact,,,,to have good interpersonal skills,"Dans la note d’information, on propose de Avoir un bon contact pour réduire les risques.","In the briefing note, we propose to have good interpersonal skills to reduce risks.",Module L7 — La communication
L’écoute,,f,Low,listening,La mise en œuvre repose en grande partie sur L’écoute.,Implementation largely depends on listening.,Module L7 — La communication
Être à l’écoute,,,,to listen to others,Le ministère s’attend à ce que nous puissions Être à l’écoute sans retard.,The department expects us to listen to others without delay.,Module L7 — La communication
Avoir une bonne écoute,,,,to be a good listener,Nous devons Avoir une bonne écoute avant la date limite fixée par le gestionnaire.,We must be a good listener before the deadline set by the manager.,Module L7 — La communication
Écouter / S’écouter,,,,to listen / to listen to each other,L’équipe a décidé de Écouter / S’écouter après la consultation des partenaires.,The team decided to listen / to listen to each other after consulting stakeholders.,Module L7 — La communication
Être sur la même longueur d’ondes,,,,to be on the same wavelength,"Pour respecter l’échéancier, on va Être sur la même longueur d’ondes dès cette semaine.","To meet the timeline, we will be on the same wavelength this week.",Module L7 — La communication
idée,,f,Low,an idea,"Dans le rapport, l’ idée figure parmi les priorités.","In the report, the an idea is listed among the priorities.",Module L7 — La communication
Faire passer / Partager une idée,,,,to get across / to share an idea,"Avant la séance d’information, il faudra Faire passer / Partager une idée les options possibles.","Before the briefing, we’ll get across / to share an idea the possible options.",Module L7 — La communication
langage (verbal; non verbal),,m,Low,language (verbal; non-verbal),Un budget supplémentaire a été alloué à langage (verbal; non verbal) cette année.,An additional budget was allocated to language (verbal this year.,Module L7 — La communication
message,,m,Medium,a message,La mise en œuvre repose en grande partie sur message.,Implementation largely depends on a message.,Module L7 — La communication
Envoyer / Faire passer / Recevoir / Transmettre (un message),,m,Medium,send / get across / receive / forward (a message),Nous misons sur Envoyer / Faire passer / Recevoir / Transmettre (un message) pour renforcer l’équité et l’inclusion.,We’re relying on send / get across / receive / forward to strengthen equity and inclusion.,Module L7 — La communication
Ouvert,,m,Low,open,L’ Ouvert est essentiel(le) pour appuyer la prise de décision.,The open is essential to support decision-making.,Module L7 — La communication
Avoir l’esprit ouvert,,,,to be open-minded,L’équipe a décidé de Avoir l’esprit ouvert après la consultation des partenaires.,The team decided to be open-minded after consulting stakeholders.,Module L7 — La communication
Parler / Se parler (ouvertement; franchement),,,,to speak / talk (openly; frankly),"Pour respecter l’échéancier, on va Parler / Se parler (ouvertement; franchement) dès cette semaine.","To meet the timeline, we will speak / talk (openly this week.",Module L7 — La communication
L’air (vicié),f,f,High,(stale) air,"Dans le rapport, le L’air (vicié) figure parmi les priorités.","In the report, the air is listed among the priorities.",Module L8 — L’environnement de travail
ambiance,f,f,High,atmosphere,"Sans ambiance, il serait difficile d’assurer une gouvernance claire.","Without atmosphere, it would be difficult to ensure clear governance.",Module L8 — L’environnement de travail
bonne ambiance de travail,m,m,High,good working atmosphere,Un budget supplémentaire a été alloué à bonne ambiance de travail cette année.,An additional budget was allocated to good working atmosphere this year.,Module L8 — L’environnement de travail
atmosphère (lourde; malsaine),,f,Low,an atmosphere (heavy; unhealthy),La mise en œuvre repose en grande partie sur atmosphère (lourde; malsaine).,Implementation largely depends on an atmosphere (heavy.,Module L8 — L’environnement de travail
belle atmosphère de travail,m,m,High,a nice work environment,Nous misons sur belle atmosphère de travail pour renforcer l’équité et l’inclusion.,We’re relying on a nice work environment to strengthen equity and inclusion.,Module L8 — L’environnement de travail
bruit,m,m,High,noise,Le bruit est essentiel(le) pour appuyer la prise de décision.,The noise is essential to support decision-making.,Module L8 — L’environnement de travail
Bruyant,,m,Low,noisy,"Lors de la réunion, le Bruyant a été présenté(e) à l’équipe.","During the meeting, the noisy was presented to the team.",Module L8 — L’environnement de travail
bureau (à aire ouverte; fermé),,f,Low,an office (open-plan; closed),Le plan inclut bureau (à aire ouverte; fermé) pour améliorer la prestation de services.,The plan includes an office (open-plan to improve service delivery.,Module L8 — L’environnement de travail
Avoir son propre bureau,,,,to have one’s own office,Le comité recommande de Avoir son propre bureau afin d’assurer la transparence.,The committee recommends have one’s own office to ensure transparency.,Module L8 — L’environnement de travail
climat (d’entraide),,f,Low,a climate (of mutual help),"Sans climat (d’entraide), il serait difficile d’assurer une gouvernance claire.","Without a climate, it would be difficult to ensure clear governance.",Module L8 — L’environnement de travail
bon climat,,m,Low,a good atmosphere,Un budget supplémentaire a été alloué à bon climat cette année.,An additional budget was allocated to a good atmosphere this year.,Module L8 — L’environnement de travail
