fr,article,en,example_fr,example_en,tags
Par l'entremise de,,through,"Communiquez avec nous par l’entremise du portail.","Contact us through the portal.",work
Parmi,,among,"Parmi les options, celle-ci est la plus économique.","Among the options, this one is the most economical.",work
Participer à,,to participate in,"Merci de participer à la séance d’information.","Thank you for participating in the briefing.",work
Parvenir à,,to reach; to succeed in,"Nous sommes parvenus à un consensus.","We succeeded in reaching a consensus.",work
Pause-café,f,coffee break,"La pause-café est prévue à 10 h 15.","The coffee break is scheduled for 10:15 a.m.",work
Pension de retraite,f,retirement pension,"La pension de retraite est indexée annuellement.","The retirement pension is indexed annually.",work
Perfectionnement,m,advanced training; professional development,"Le plan de perfectionnement sera mis à jour chaque année.","The professional-development plan will be updated annually.",work
Personne-ressource,f,contact person,"Veuillez indiquer la personne-ressource sur le formulaire.","Please indicate the contact person on the form.",work
Perte,f,loss,"Une perte de données a été évitée grâce aux sauvegardes.","A data loss was avoided thanks to backups.",work
Plage horaire,f,time slot,"Choisissez une plage horaire pour l’entrevue.","Choose a time slot for the interview.",work
Plainte,f,complaint,"La plainte a été transmise au service compétent.","The complaint was forwarded to the appropriate unit.",work
Plus tôt,,earlier,"Envoyez le rapport plus tôt si possible.","Send the report earlier if possible.",work
Plutôt (que),,rather (than),"Nous utiliserons Teams plutôt que Zoom.","We will use Teams rather than Zoom.",work
Politique,f,policy,"La politique entre en vigueur le 1er avril.","The policy comes into effect on April 1.",work
Porte-documents,m,briefcase,"Le porte-documents contient les originaux signés.","The briefcase contains the signed originals.",work
Porte-parole,mf,spokesperson,"La porte-parole fera une déclaration à 14 h.","The spokesperson will make a statement at 2 p.m.",work
Poser sa candidature,,to apply,"Vous pouvez poser votre candidature en ligne.","You can apply online.",work
Poste,f,mail,"Le document sera envoyé par la poste.","The document will be sent by mail.",work
Poste,m,position (job),"Le poste affiché exige trois ans d’expérience.","The posted position requires three years’ experience.",work
Postuler,,to apply,"Elle a postulé au concours interne.","She applied to the internal competition.",work
Pour ce qui est de,,as for; concerning,"Pour ce qui est de la sécurité, tout est conforme.","As for security, everything is compliant.",work
Pour ma part,,for my part,"Pour ma part, je recommande l’option B.","For my part, I recommend option B.",work
Pourriel,m,spam; junk mail,"Vérifiez le dossier de pourriel pour le courriel d’activation.","Check the spam folder for the activation email.",work
Pour de plus amples renseignements,,for more information,"Pour de plus amples renseignements, consultez la FAQ.","For more information, consult the FAQ.",work
Prélèvement,m,deduction,"Le prélèvement sera effectué le 30 du mois.","The deduction will be made on the 30th of the month.",work
Prendre les mesures nécessaires,,to take necessary steps,"Nous allons prendre les mesures nécessaires pour corriger l’écart.","We will take the necessary steps to correct the discrepancy.",work
Prendre note que,,to take note that,"Veuillez prendre note que la séance est reportée.","Please note that the session is postponed.",work
Prendre part à,,to take part in,"Merci d’avoir pris part à la consultation.","Thank you for taking part in the consultation.",work
Prendre rendez-vous,,to make an appointment,"Veuillez prendre rendez-vous avec le gestionnaire.","Please make an appointment with the manager.",work
Prendre sa retraite,,to retire,"Elle prendra sa retraite en décembre.","She will retire in December.",work
Prendre une décision,,to make a decision,"Le comité doit prendre une décision aujourd’hui.","The committee must make a decision today.",work
Préretraite,f,early retirement,"Il est admissible à la préretraite.","He is eligible for early retirement.",work
Président(e),mf,president; chair,"La présidente ouvre la séance à 9 h.","The chair opens the meeting at 9 a.m.",work
Prestations d'assurance-emploi,fpl,unemployment benefits,"Les prestations d’assurance-emploi débuteront en mai.","Employment-insurance benefits will begin in May.",work
Prêt,m,loan,"Le prêt sera remboursé sur cinq ans.","The loan will be repaid over five years.",work
Prévenir,,to prevent; to warn,"Ces contrôles visent à prévenir les incidents.","These controls aim to prevent incidents.",work
Prévoir,,to plan; foresee,"Nous prévoyons terminer le projet en octobre.","We plan to finish the project in October.",work
Prière de,,please (+ infinitive),"Prière de signer et de retourner le formulaire.","Please sign and return the form.",work
Prime,f,bonus; premium,"Une prime de rendement sera versée au T4.","A performance bonus will be paid in Q4.",work
Primordial,,essential; fundamental,"Il est primordial de consulter les parties prenantes.","It is essential to consult stakeholders.",work
Processus,m,process,"Le processus d’approbation comporte trois étapes.","The approval process has three steps.",work
Procès-verbal,m,minutes (meeting),"Le procès-verbal sera partagé demain.","The meeting minutes will be shared tomorrow.",work
Profiter de l'occasion,,to take the opportunity,"Profitons de l’occasion pour remercier l’équipe.","Let’s take the opportunity to thank the team.",work
Promouvoir,,to promote,"Nous voulons promouvoir la littératie numérique.","We want to promote digital literacy.",work
Protection,f,coverage,"La protection offerte par la police d’assurance est adéquate.","The coverage provided by the insurance policy is adequate.",work
Provisoire,,temporary,"Un processus provisoire sera utilisé durant la transition.","A temporary process will be used during the transition.",work
Quant à,,as for,"Quant à la formation, elle sera offerte en ligne.","As for training, it will be offered online.",work
Quart,m,work shift; one-quarter,"Elle travaille de nuit au quart B.","She works nights on shift B.",work
Que ce soit…,,whether it be…,"Que ce soit au bureau ou à distance, la sécurité s’applique.","Whether it be in the office or remotely, security applies.",work
Quel que soit,,whichever,"Quel que soit le scénario, nous respecterons l’échéancier.","Whichever scenario, we will meet the timeline.",work
Quiconque,,whoever,"Quiconque souhaite participer peut s’inscrire d’ici vendredi.","Whoever wishes to participate can register by Friday.",work
Rappeler,,to remind; to call back,"Merci de me rappeler après la séance.","Please call me back after the session.",work
Rapporter,,to report,"Veuillez rapporter tout incident de sécurité.","Please report any security incident.",work
Rattaché à,,related to; connected to,"Le poste est rattaché à la Direction des opérations.","The position is connected to the Operations Directorate.",work
Réclamation,f,claim,"La réclamation sera traitée dans les dix jours ouvrables.","The claim will be processed within ten business days.",work
Rédiger,,to write; to draft,"Le secrétariat doit rédiger l’avis d’appel d’offres.","The secretariat must draft the notice of tender.",work
Réévaluer,,to reconsider; re-evaluate,"Nous allons réévaluer les risques après le pilote.","We will re-evaluate the risks after the pilot.",work
Régime,m,plan,"Le régime de retraite est contributif.","The pension plan is contributory.",work
Règlement,m,regulation; rule,"Le règlement interne sera mis à jour en juin.","The internal regulation will be updated in June.",work
Relevé de notes,m,transcript,"Veuillez joindre votre relevé de notes à la demande.","Please attach your transcript to the application.",work
Relever de,,to report to,"Le poste relève du directeur régional.","The position reports to the regional director.",work
