fr,article,en,example_fr,example_en,tags
Étape,f,step,"La prochaine étape consiste à valider les exigences.","The next step is to validate the requirements.",work
Et pourtant,,and yet,"Le rapport est complet, et pourtant des questions subsistent.","The report is thorough, and yet questions remain.",work
Être appelé à,,to be called upon to,"Le ministère est appelé à moderniser ses systèmes.","The department is called upon to modernize its systems.",work
Être au courant de,,to be aware of,"Êtes-vous au courant de la mise à jour?","Are you aware of the update?",work
Être chargé de,,to be responsible for,"Elle est chargée de la coordination du projet.","She is responsible for coordinating the project.",work
Être d'avis que,,to be of the opinion that,"Le comité est d’avis que la solution est viable.","The committee is of the opinion that the solution is viable.",work
Être disposé à,,to be willing to,"Le fournisseur est disposé à prolonger le contrat.","The supplier is willing to extend the contract.",work
Être en mesure de,,to be in a position to; to be able,"Nous serons en mesure de livrer en juin.","We will be able to deliver in June.",work
Être muté,,to be transferred,"Elle a été mutée au bureau régional.","She was transferred to the regional office.",work
Être prêt à,,to be ready to,"Nous sommes prêts à procéder au déploiement.","We are ready to proceed with the rollout.",work
Être prié de,,to be asked to; to be requested to,"Vous êtes prié de signer le formulaire.","You are requested to sign the form.",work
Être responsable de,,to be responsible for,"Il est responsable de la gestion des risques.","He is responsible for risk management.",work
Être satisfait de,,to be satisfied with,"Le client est satisfait de la solution proposée.","The client is satisfied with the proposed solution.",work
Être tenu de,,to be obliged to; to be required to,"Les fournisseurs sont tenus de respecter l’échéancier.","Suppliers are required to meet the timeline.",work
Étude de marché,f,market research,"Nous réaliserons une étude de marché avant l’appel d’offres.","We will conduct market research before the tender.",work
Éviter de,,to avoid,"Veuillez éviter de partager des renseignements sensibles.","Please avoid sharing sensitive information.",work
Exemplaire,m,copy,"Veuillez fournir trois exemplaires du rapport.","Please provide three copies of the report.",work
Exigeant,,demanding,"L’échéancier est exigeant mais réalisable.","The schedule is demanding but achievable.",work
Exiger,,to require; to demand,"Le contrat exige une preuve d’assurance.","The contract requires proof of insurance.",work
Faire connaître,,to announce; to make known,"Le ministère fera connaître sa décision vendredi.","The department will announce its decision on Friday.",work
Faire face à,,to face,"Nous devons faire face à une hausse de la demande.","We must face an increase in demand.",work
Faire l'objet de,,to be the subject of,"Le programme fera l’objet d’une évaluation externe.","The program will be the subject of an external evaluation.",work
Faire part de,,to inform (someone of something),"Veuillez nous faire part de vos commentaires.","Please let us know your comments.",work
Faire partie de,,to be part of,"Cette équipe fait partie de la Direction générale.","This team is part of the Directorate.",work
Faire parvenir,,to forward; to send,"Pouvez-vous me faire parvenir le dossier?","Can you forward me the file?",work
Faire ressortir,,to highlight; to bring out,"Le rapport fait ressortir les gains d’efficacité.","The report highlights the efficiency gains.",work
Faire savoir,,to inform (someone of something),"Nous vous ferons savoir la date exacte.","We will let you know the exact date.",work
Faute de quoi,,otherwise,"Veuillez fournir les documents, faute de quoi la demande sera refusée.","Please provide the documents; otherwise the request will be refused.",work
Fonctionnaire,mf,public servant,"Les fonctionnaires appuient la mise en œuvre du programme.","Public servants support the program’s implementation.",work
Formation,f,training,"La formation obligatoire débute lundi.","Mandatory training begins on Monday.",work
Formulaire,m,form,"Le nouveau formulaire est disponible en ligne.","The new form is available online.",work
Fournisseur,m,supplier,"Le fournisseur a confirmé la date de livraison.","The supplier confirmed the delivery date.",work
Fournitures de bureau,fpl,office supplies,"Les fournitures de bureau seront livrées demain.","Office supplies will be delivered tomorrow.",work
Frais,mpl,fees; costs,"Les frais de déplacement seront remboursés.","Travel costs will be reimbursed.",work
Gérer,,to manage,"Elle doit gérer un portefeuille de projets.","She must manage a portfolio of projects.",work
Gestion,f,management,"La gestion des risques sera mise à jour trimestriellement.","Risk management will be updated quarterly.",work
Gestionnaire de projet,mf,project manager,"Le gestionnaire de projet a validé le plan.","The project manager validated the plan.",work
Grâce à,,thanks to,"Grâce à la collaboration des équipes, le projet avance.","Thanks to the teams’ collaboration, the project is progressing.",work
Grève,f,strike,"La grève a été évitée après la médiation.","The strike was averted after mediation.",work
Grief,m,grievance,"Un grief a été déposé par le syndicat.","A grievance was filed by the union.",work
Grille salariale,f,salary scale,"La grille salariale sera révisée cette année.","The salary scale will be revised this year.",work
Habileté,f,skill; ability; qualification,"L’habileté à communiquer est essentielle pour ce poste.","Communication skill is essential for this position.",work
Hausser,,to raise; to increase,"Nous allons hausser la capacité du service.","We will increase the service’s capacity.",work
Heures supplémentaires,fpl,overtime,"Les heures supplémentaires doivent être approuvées d’avance.","Overtime must be approved in advance.",work
Il s'agit de,,it is a matter of; it concerns,"Il s’agit de moderniser les services numériques.","It’s about modernizing digital services.",work
Il se peut que,,it is possible that,"Il se peut que la réunion soit reportée.","It is possible that the meeting will be postponed.",work
Il vaut mieux,,it is better,"Il vaut mieux confirmer par écrit.","It is better to confirm in writing.",work
Implanter,,to implement,"Nous allons implanter la solution au T3.","We will implement the solution in Q3.",work
Imprévu,m,unforeseen event,"Un imprévu a retardé la livraison.","An unforeseen event delayed delivery.",work
Imprimer,,to print,"Veuillez imprimer deux copies du document.","Please print two copies of the document.",work
Incomber à,,to be incumbent upon,"Il incombe au gestionnaire d’approuver les dépenses.","It is incumbent upon the manager to approve expenses.",work
Indemnité,f,claim; compensation,"Une indemnité sera versée aux personnes touchées.","Compensation will be paid to those affected.",work
Intérimaire,,interim; acting,"Elle occupe un poste intérimaire depuis janvier.","She has been in an acting position since January.",work
Interpeller,,to call out to,"Le comité a interpellé les partenaires sur les risques.","The committee called out to partners about the risks.",work
Joindre,,to contact; to reach,"Vous pouvez joindre l’équipe par courriel.","You can reach the team by email.",work
Jour férié,m,statutory holiday,"Le bureau sera fermé lors du jour férié.","The office will be closed on the statutory holiday.",work
Jusqu'à ce que,,until,"Le projet continue jusqu’à ce que les tests soient terminés.","The project continues until the testing is complete.",work
Jusqu'à présent,,until now,"Jusqu’à présent, les résultats sont positifs.","Until now, the results have been positive.",work
La plupart (de),,most (of),"La plupart des répondants appuient la recommandation.","Most respondents support the recommendation.",work
Laissez-passer,m,pass,"Un laissez-passer temporaire vous sera remis.","A temporary pass will be issued to you.",work
Le cas échéant,,if necessary,"Le cas échéant, nous prolongerons l’échéance.","If necessary, we will extend the deadline.",work
Lien,m,link,"Veuillez partager le lien du dossier.","Please share the link to the folder.",work
Ligne directrice,f,guideline,"La nouvelle ligne directrice est maintenant en vigueur.","The new guideline is now in effect.",work
Liste d'envoi,f,mailing list,"Mettez à jour la liste d’envoi avant l’envoi du bulletin.","Update the mailing list before sending the bulletin.",work
Logiciel,m,software,"Ce logiciel répond aux exigences de sécurité.","This software meets the security requirements.",work
Loi,f,law,"La Loi exige la protection des renseignements personnels.","The law requires the protection of personal information.",work
Lors de,,during,"Lors de la séance, nous présenterons le plan.","During the session, we will present the plan.",work
Lorsque,,when,"Lorsque le contrat sera signé, nous commencerons le travail.","When the contract is signed, we will start the work.",work
Main-d'oeuvre,f,workforce; labour force,"La main-d’œuvre qualifiée est essentielle au succès.","A skilled workforce is essential to success.",work
Maintien,m,retention; maintenance,"Le maintien en poste est une priorité.","Employee retention is a priority.",work
Malgré,,despite,"Malgré les contraintes, l’équipe a livré à temps.","Despite the constraints, the team delivered on time.",work
Mandat,m,mandate,"Le mandat comprend la modernisation des systèmes.","The mandate includes the modernization of systems.",work
Marche à suivre,f,procedure,"La marche à suivre est décrite à l’annexe A.","The procedure is described in Appendix A.",work
Même si,,even if; even though,"Même si le budget est limité, nous irons de l’avant.","Even if the budget is limited, we will move forward.",work
Mener à terme,,to bring to a conclusion,"Nous voulons mener à terme le projet cette année.","We want to bring the project to a conclusion this year.",work
Mettre à contribution,,to call upon,"Nous mettrons à contribution l’expertise des régions.","We will call upon the regions’ expertise.",work
